variable_original,nombre_proyecto,rol_analitico,rol_en_estudio,pregunta,escala,pct_nulos
record,id_registro,identificador,identificador,Identificador del registro,entero único,0.0
weight,peso_muestral,muestral (weight),diseño muestral,Factor de expansión,continuo > 0,0.0
stratum,estrato,muestral (stratum),diseño muestral,Estrato del diseño muestral,código,0.0
psu,psu,muestral (psu),diseño muestral,Unidad primaria de muestreo,código,0.0
q1,edad_cod,ordinal,control demográfico,How old are you?,1 = ≤12 años … 7 = ≥18 años,0.5
q2,sexo_cod,nominal,control demográfico,What is your sex?,"1 = Female, 2 = Male",0.8
raceeth,raceeth_cod,nominal,control demográfico,"Raza/etnicidad (combina q4 y q5, CDC)",8 categorías,1.8
q84,salud_mental_cod,ordinal,desenlace,"During the past 30 days, how often was your mental health not good?",1 = Never … 5 = Always,21.9
q80,redes_sociales_cod,ordinal,exposición,How often do you use social media?,1 = no uso … 8 = más de una vez por hora,24.4
q85,sueno_cod,ordinal,control,"On an average school night, how many hours of sleep do you get?",1 = ≤4 h … 7 = ≥10 h,13.2
q76,actividad_fisica_cod,ordinal,control,"Past 7 days, days physically active ≥60 minutes",1 = 0 días … 8 = 7 días,6.1
