id_registro,peso_muestral,estrato,psu,edad_cod,sexo_cod,raceeth_cod,salud_mental_cod,redes_sociales_cod,sueno_cod,actividad_fisica_cod,n_faltantes_analisis,caso_completo,raza_amerindia,raza_asiatica,raza_negra,raza_hawaiana_pacifico,raza_blanca,raza_hispana,raza_multiple_hispana,raza_multiple_no_hispana,sexo_femenino,salud_mental_mala,redes_uso_frecuente,sueno_8h_o_mas,actividad_5_dias
1,0.8614,103,16294,3,1,,1,6,3,1,1,0,,,,,,,,,1,0,1,0,0
2,0.892,103,16294,4,2,5,3,4,5,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,0.5081,103,16294,5,2,5,2,8,1,8,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
4,1.1759,103,16294,6,1,5,3,8,4,3,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
5,0.892,103,16294,3,2,5,3,6,3,8,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
6,0.892,103,16294,5,2,5,,8,2,6,1,0,0,0,0,0,1,0,0,0,0,,1,0,1
7,0.5081,103,16294,6,2,5,3,8,2,8,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
8,0.8614,103,16294,4,1,5,2,6,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
9,0.8453,103,16294,4,2,8,3,6,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
10,0.8148,103,16294,6,1,3,1,6,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
11,0.7834,103,16294,5,2,5,1,1,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
12,0.7896,103,16294,4,1,3,1,6,4,5,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
13,1.0781,103,16294,4,2,7,1,6,4,6,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
14,0.8148,103,16294,7,1,3,1,6,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
15,0.7872,103,16294,4,2,3,1,7,5,4,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
16,0.8614,103,16294,3,1,5,4,8,2,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0
17,0.892,103,16294,4,2,5,1,8,3,8,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
18,0.5081,103,16294,7,2,5,3,3,5,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
19,0.4727,103,16294,5,1,5,3,6,5,6,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
20,0.8614,103,16294,5,1,5,3,2,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
21,0.3029,103,16294,5,2,3,3,4,3,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
22,0.7872,103,16294,5,2,,3,7,4,4,1,0,,,,,,,,,0,0,1,0,0
