columna,tipo,origen,nulos
peso_muestral,float64,original,0
estrato,int64,original,0
psu,int64,original,0
edad_cod,float64,original,0
salud_mental_cod,float64,original,0
redes_sociales_cod,float64,original,0
sueno_cod,float64,original,0
actividad_fisica_cod,float64,original,0
n_faltantes_analisis,int64,original,0
caso_completo,int64,original,0
raza_amerindia,float64,original,174
raza_asiatica,float64,original,174
raza_negra,float64,original,174
raza_hawaiana_pacifico,float64,original,174
raza_blanca,float64,original,174
raza_hispana,float64,original,174
raza_multiple_hispana,float64,original,174
raza_multiple_no_hispana,float64,original,174
sexo_femenino,float64,original,69
salud_mental_mala,float64,original,0
redes_uso_frecuente,float64,original,3281
sueno_8h_o_mas,float64,original,724
actividad_5_dias,float64,original,487
raceeth_cod_1.0,int64,derivada,0
raceeth_cod_2.0,int64,derivada,0
raceeth_cod_3.0,int64,derivada,0
raceeth_cod_4.0,int64,derivada,0
raceeth_cod_5.0,int64,derivada,0
raceeth_cod_6.0,int64,derivada,0
raceeth_cod_7.0,int64,derivada,0
raceeth_cod_8.0,int64,derivada,0
sexo_cod_1.0,int64,derivada,0
sexo_cod_2.0,int64,derivada,0
